,Sentence,Result
2779,Getstate .,"The sentence ""Getstate."" is too vague and lacks context. It doesn't provide enough information to determine its relevance to Class Diagrams, Use Case Diagrams, or Activity Diagrams. However, if we assume it's referring to a method that retrieves the state of an object in programming, the classification might look like this:

**[Useful Class, Not Useful Use Case, Not Useful Activity]**

Explanation:
- **Class Diagram**: This could represent a method (`GetState`) in a class, so it could be useful for defining the behavior of a class.
- **Use Case Diagram**: It doesn't describe user interactions or system use cases.
- **Activity Diagram**: It doesn't describe a process or workflow."
2780,"The internal state of the subsystem is returned as one of : ; READY exists subsystem the MAINTENANCE one of : ; DOWN the subsystem is as not ; BOOTED the subsystem has been booted , operational status current its subsystem .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2781,Getversion,"I am an AI language model trained by OpenAI, and my current version is based on GPT-4. If you need help classifying a sentence for its usefulness in creating Class Diagrams, Use Case Diagrams, or Activity Diagrams, feel free to provide the sentence!"
2782,The subsystem returns its version identiﬁcation as a string value ; Getstatus .,"[Useful Class, Useful Use Case, Not Useful Activity]"
2783,"The subsystem reports but not yet conﬁgured initialized ; INITIALIZING the subsystem is doing initialization actions ; RUNNING the subsystem is running at observing level ; yet ; not , ; CONFIGURING the system is in the process of conﬁguring ( Steven ) ; CONFIGURED the subsystem is conﬁgured but Collaborative offsite science be to project Gemini the of goal term capable long , however , is","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2784,"It . facility single a of being used for instance for ( site same the on telescopes , Gemini - non perhaps , nearby with conjunction in a interferometry were if context user - multi ; context instrument visitors . ; instrument - multi ; concept telescope - multi context","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2785,Although there are as them of use concurrent support to plans no are there system Gemini the of part as telescopes two they : ),"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2786,Normally beam using by detectors two feed which instrument).Instruments splitters active beam telescope the to access has instrument one ( or ﬁeld splitters and splitters ﬁeld or splitters beam via instruments separate two,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2787,Feeding . instrument active single a as considered is only . though provided Telescopes m 8 Gemini,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2788,The . telescope the are of cassegrain the on mounted are instruments scientiﬁc three focus thus characterized all be shall instruments mounted the all to access,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2789,"Parallel . context instrument - multi a in as time the , providing by environment ( level test the at work usually staff see maintenance development Software mode Operation ; operation normal ongoing and Section 3.2.1.3 on Gemini the of parts","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2790,"Other . test under software the of part the for ) 4 - 3 page with 8 interference to need staff maintenance and development Software Privileges ; the procedures and test established to according , releases new validation highest privilege in followed be must guidelines control configuration strict","Not Useful Class, Not Useful Use Case, Not Useful Activity"
2791,"Nevertheless . system the in everything modify to able be to order prevent produced m may consequence direct a is which , context operational of the and requirements program Telescopes m 8 Gemini from speciﬁes the structure of complex a with cope to has operation Telescopes m 8 Gemini",
2792,The . system Telescopes m 8 Gemini the directly Telescopes derives,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2793,This of number a that means,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2794,This . tests commands integration to mode test in run to need also support are available which . astronomers observing to accessible not are and ) commands test ( tested be to concerned hardware the allow section separate control nodes instrumentation existing the of subset a be it interface that this of goal the be should,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2795,It . interface ( rather than instrument of information status of acquisition : support should interface this minimum a,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2796,At . ) system separate a supported by adequately to as operating as instruments all view Telescopes Gemini servers,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2797,"The interface standardized a through available made be must . , responding to mode this in operating of capable be must instruments","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2798,Visitor . system the of levels upper the from commands be functionality other ; ) lists ﬁlter as such ( tables operations which of ; data instrument visitor of ) archivibility or maintenance can become part more that unlikely is it instrumentation visitor of nature the to,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2799,Due . record permanent 's observation an of ( systems archiving system should,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2800,"It . focus and position telescope the be offset capability ; sequences observing preprogrammed enter to capability to a goal , Gemini the and instrument visitor between transforms coordinate for support provide interface the that , requirement a not but ; available the of hot a in are they , case this standby in them to back switched is beam telescope the ( situation ) ; ) test , maintenance , observing ( levels operation foreseen all at ; work to able be shall they as ( soon start they : instruments ) inactive ( other the shall for are situations","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2801,Various . requirement a not is possible be able to to exposure an for prepare to able be shall they ; parallel in exposures ﬁeld ﬂat or calibration take as see Section 3.2.1 of nature specialized the to,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2802,Due . system visitor the implications several has observer the by brought instruments for instrumentation it is subset a case this,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2803,"In . warranted or feasible either is environment Gemini the into integration complete that unlikely outside of operation and not shall it , instrument inactive an of status the of","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2804,"Regardless . ) 3 - 3 page on be or possible any , installation , support for provide to requirement","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2805,The instrument active the impact adversely to actions permitted its of for packages software new shall queue scheduling the of existence,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2806,The . be focussing such - automation for candidate a as examined as transparent to the with gained been has experience after,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2807,"Only . operation telescope of phases initial the during observer site - on be the should a as such ( functions some for , that adjustment evident","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2808,It . 12 - 2 page on 2.7 is of spectrograph slit such of instance each,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2809,However . capability interactive include to necessary be must it ) conditions seeing for width function Section system the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2810,"and operators instrument and , telescope","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2811,"Telescopes m have 8 the of supervisors operations , operators telescope become Gemini to overview the will","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2812,They . system the of users experienced very be will users,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2813,"These . operation Telescopes m 8 Gemini may will they Telescopes includes staff operations , Currently","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2814,Definition . observer ' site the to evident become queue the of existence on night assistants ' m 8 Gemini the on implemented operations the on,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2815,"Depending . ' group operations ' the of staff and , in explained reasons flexible and observing service as such requirements operational scheduling support essential is","[Not Useful Class, Useful Use Case, Useful Activity]"
2816,This . sequencer automatic an via to ( as defined provided be shall interaction of degree certain,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2817,"A . ) 12 - 2 page on 2.7 Section in later operation , by be command a ) instance for ( enter to to observer allow not would but function control telescope a the slew the mount normally shall operation interactive Traditional mode Operation ; however , instruments to access control given typically are","[Not Useful Class, Useful Use Case, Useful Activity]"
2818,"Astronomers . replaced meaning in this Operations , particular","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2819,In . data previous of staff assessment the of result a as,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2820,"e.g. . queue quality will be able the for mode operation normal the as considered be not shall this but , operation interactive direct enable to this resequence and break . directly programs control the with than rather , program scheduler the with interact will user the that case","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2821,Observing be commands normally to possible be also must,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2822,It . execution later for queue a to interface User the via submitted be will complicated very with be can unit faulty a if see to declared e.g. units such on performed tests of results the ( as operational again : staff are maintenance and development Software,"[Useful Class, Useful Use Case, Useful Activity]"
2823,Definition . ) use in environment the of part as redefined and to •based according of time present the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2824,At . responsibility and control it of single a establish to rather but way any point is not clear status operational the change to able be shall,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2825,They . area this in requirements instrument visitor handle to how units in either the when intervene staff maintenance and development Software work there of ; works software Telescopes m 8 Gemini the Purpose is a major of installation and generation system perform also,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2826,"They . installed be to upgrade an or solved be to problem way at the understanding remote Telescopes m 8 Gemini the at •based operations or facility base or site Telescopes m 8 Gemini , facility , or deep a have will users","[Not Useful Class, Useful Use Case, Not Useful Activity]"
2827,These . Institute associated an from or company contract a from staff Gemini •non of astronomer observing the performance general monitor also shall,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2828,They . efficiently and instruments telescope use to do to have they what and system safety ;,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2829,This . problems of case in procedures maintenance and commands all access to privileges have shall staff Operations Privileges on includes astronomers advise Gemini the control will staff Operations work of 8 Purpose instruments its and/or Telescopes m 8 Gemini the ; m Telescopes indirectly to able be will and operation telescope supervise will,"[Useful Class, Useful Use Case, Not Useful Activity]"
2830,"They . commands via directly or program scheduler a via observing direct control of ( mode read in only them to access for have astronomers observing while , mode update in tables will example the list of capabilities the restrict to not is intent the ,","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2831,"Again . ) instrument an on mounted filters of operation to access have . operation normal in are these while subsystems to access have not shall they ,","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2832,However . units physical,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2833,If familiar they to shall staff Operations mode Operation ; run be to have procedures reconfiguration appropriate system the of parts other access need observer functionality be based -,"[Useful Class, Useful Use Case, Useful Activity]"
2834,"Queue . delay and checking minimal observing with and accepted are commands all where through”mode pass transmitted is the primary data science sound providing of means best the is it as , telescopes Gemini the with used mode observation “ while a operate priority top a clearly is","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2835,This . ) requirement 6 2 page on 2.5.9 Section see ( sequencer - and one which will sequencer automatic the of implementation initial,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2836,"The . mode other any implementing before realized be to have will in automatic maximizing use should this , addition","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2837,"In . feasible this be make environment programming rich sufﬁciently a include must software to a visually - be should There ; astronomer the to interface use - to - easy , simple a providing environment oriented Gemini efﬁcient the means has it , observing service for below given the those include requirements its","[Not Useful Class, Useful Use Case, Not Useful Activity]"
2838,While . telescope the of all following special requirements,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2839,"The . observation the during interaction human little very requiring , automated fully be must program observing","[Not Useful Class, Useful Use Case, Useful Activity]"
2840,The . that a an be by sequencer the with executed .Normally :,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2841,"Requirements providing . software on constraints impose ) service and operations design a computer executable but , supported is","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2842,"operation .Interactive ; telescope Gemini the of use efﬁcient make to order in , program - always remote based information status required the to access explicit of from form in and , locations different at information status the any point . - queue , interactive ( modes observing different","[Not Useful Class, Useful Use Case, Useful Activity]"
2843,The . observations ongoing of performance the affect not shall,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2844,"Monitoring , via through Observatory essential an therefore is","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2845,It . Telescopes m requirement 8 the of requirement basic ﬁrst a is nights Gemini that telescope operation normally will,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2846,Interaction . mode this in way friendly very and smooth a in software the by supported is full the for time for allow to OCS the to interface user changes visual is .There ; ) OCS ( System Control a to the viewing with observing,"[Not Useful Class, Useful Use Case, Useful Activity]"
2847,Interactive . observing the in participate station one than more have to possible is It ; program allocation full telescope simulator as such rules imagine could one out worked “ be yet have rules these,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2848,"While . directorate observatory to no more than project observing prime the to overhead % 10 a “ or ” preempted be will observing of % 15 the is by rules front the to comes place take to observation of next that so queue the resort to possible be the the queue . other and , conditions site current , sequences observing individual the of properties on based be will sorting","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2849,"This established should acceptable order it if , design system","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2850,"The . project does the phase future a in it implement to necessary of not include a the with , observing remote both includes operations","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2851,"Remote . implementation future its for allow speciﬁcally should , scheduler prove in may estimate scheduling queue","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2852,Thus . ” ﬁlters identical with is sky of parts similar in observations up pick to the a superset of to difﬁcult currently are scheduler a such implementing of costs the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2853,"As . requirements similar with , observing preprogrammed it","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2854,"It . sequences observing across and program observing an within both programs selection in assist to software for requirement a is object , in order ; conﬁgurations instrument and , conditions weather , positions target consider must software","[Not Useful Class, Useful Use Case, Useful Activity]"
2855,This . efﬁciency observing optimize to There There ; virtual simulator,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2856,"This . functionality and , errors , should completeness programs observing test to astronomer the enable to for function within the the within use simulated for support provide must software control All ; system Gemini the of environment telescope virtual telescope must be software to possible be must it time observing available queue the use the maximize To ; data calibration and of all of the observing preprogrammed of form the in be would","[Not Useful Class, Useful Use Case, Useful Activity]"
2857,"These . instruments available currently the with possible is that observing , reference , engineering observing of interleaving the for allowing , scheduler a via and manually both , scheduling ﬂexible the support to programs of in manner , environmental , science of collection the managing includes","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2858,This . programs observing individual the to transparent is that a displays automatic of of areas large rework or rewrite to instruments their visitor require might standards Gemini of evolution the ; existing control system ; of advantage take to want may instruments Gemini of complement initial the than time in later built instruments visitor change different technology requirements recognized be must it,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2859,"However . standards Gemini that the adheres equipment visitor the if simpler made is to : the Gemini as time over evolve will standards Gemini the ; instruments visitor some for effective cost prove not may standards and instrumentation and/or expensive interfaces stable , lived long via instruments visitor . to made be will which facilities Gemini of subset available","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2860,Visitor requirements outside instruments visitor and Gemini both of support,"[Useful Class, Useful Use Case, Not Useful Activity]"
2861,The . basis needed as an on handled be would these of a less establish better not probably is it reasons these,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2862,For . possible project of goals the suits better it if technology their to establish a much is,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2863,"It . completely to adhere , visitor and Gemini both , instruments all which to standard combined to visitor of support joint a require will but service standard a effort as be not will functionality","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2864,Such . it require offered on the part for interfaces standardized via supported be will functionality complicated more,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2865,As . team instrument visitor the and Gemini of that the instruments for ( instrument visitor the of those with components other system the of motions coordinated particular,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2866,In . supported Gemini than simple raster possible be not will functionality complicated more that mean not does,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2867,"This . supported be not will ) scans visitor Gemini instruments , lived - long and stable be interface instrument , visitor that important is","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2868,It . users external impact the as the time,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2869,The . years two or one as long as be can instrument visitor same the of uses successive between not do standards internal difﬁculty,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2870,"The . standard this to instruments visitor adapt to possible be should it , motions coordinated as such with would offering services change to decisions that is , standard supported internally an to opposed as , standard supported externally an as such can beneﬁt the up set procedures the through go to have by operations m 8 Gemini monitor to wishing users other Telescopes Operations and get or difﬁcult certain when important be also might mode monitoring point - multi","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2871,The . so do to permission,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2872,"All rare . operation can else someone , Telescopes m 8 Gemini follow the control in is user ) active ( some of what they are the by needed be typically will","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2873,"This . instruments and telescope from data relevant the all monitoring by doing supervisor while problems , point -","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2874,Multi . ) system the of monitoring parts on information status date - to - up different also allows a form the in both exist shall,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2875,Monitoring . supervisor remote a by advised and monitored be to observer local the occur with display point -,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2876,"Multi . remotely situated colleagues from monitoring obtained only can and needed is advice expert when be allows them to different selecting by e.g. ( working is system the how investigate and performed tests of results the directly follow pages , that meant user these","[Not Useful Class, Useful Use Case, Useful Activity]"
2877,"On . Telescopes m 8 Gemini stations the time same the at active be will stations on , different kinds of","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2878,"Independently . software Telescopes m 8 Gemini the with time same the at working be may users of user the several imply set standard a as instrument the to appearing of ,","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2879,"This . simulator observatory Gemini a of provision simulator hardware and software units single as operated instruments have to requirements The observatory the of deﬁnition functional a present would , interfaces that location of users safety and security ensuring protection with course of ) but point single any from controllable and accessible be ( .","[Useful Class, Useful Use Case, Not Useful Activity]"
2880,A particularly is it this,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2881,"By . monitoring point - multi is system the of use - multi of case simple should system Telescopes m part any ) privileges their to according ( access to able be shall they , site telescope the at of by the setup 8 Gemini whole the of subsection","[Useful Class, Useful Use Case, Not Useful Activity]"
2882,any . words other,"It seems like you entered ""any . words other"" which doesn't appear to be a meaningful sentence or a requirement. If you'd like to provide a sentence to classify whether it is useful for **Class Diagram**, **Use Case Diagram**, or **Activity Diagram**, feel free to type it in. For example:

- ""The system should allow users to log in using their credentials.""  
Expected Output: `[Not Useful Class, Useful Use Case, Useful Activity]`

Let me know how I can assist!"
2883,In . operation conﬁguration and logon simple a with whole,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2884,"Quite the work the OS ; The GUI systems are to to use - windows , version 11 , release 5 X interfaces level higher ( such as GUI interfaces and database interfaces ) have higher portability requirements that may require the speciﬁcation of ( packages X11R5 or be used where possible ; Imake is recommended should , GNU ’s autoconﬁgure utility an acceptable alternative ; with suite tool software release 6 ( X11R6 ) .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2885,The principle language for developing GUIs is Tcl / Tk ; The GNU ) CVS Some basis are not permitted .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2886,"Compliance to POSIX is extensions measured the book : POSIX Programmer ’s Guide - against speciﬁc vendor , UNIX System V , Release 4 , using only POSIX compliant calls to the operating system .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2887,"In particular Writing ; Portable Programs available operating system calls are to be discussed the with GPO on a case - by - case the by met acceptably , by Donald Lewine , O’Reilly & Associates , Inc. 1991 ; Any special needs that can not be UNIX is is recommended IOC software development is one speciﬁed by the for Gemini .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2888,It is the GNU cc compiler as Project used be to IOC software is to be developed on Unix workstations in a windowed development environment ; The cross - compiler furnished all with ; .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2889,Software below the IOC level .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2890,"There ) is to be software below the IOC level , likely SPS ( Standards IOC software development is to be done using a common development environment , as speciﬁed in the Software Programming VxWorks the that is compatibility with the goals for the Gemini Project for . the same time , the availability of cross","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2891,At examined were systems version control system .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2892,IOC and cross - development system software .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2893,A number of real - time operating - assumed support environments Systems ) ; The communication interface between the River IOCs Unix workstations is to be IMP ; It and Wind from ( was considered .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2894,The recommendations are : ; The IOCs will use the real - time operating system VxWorks development system operating development be developed using a formally deﬁned model . to,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2895,"The / Mellor approach to developing real - time Ward is software supported failure of one subsystem should not affect other , working , subsystems , including communication links .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2896,"All Gemini systems , is and .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2897,"Functional analysis is done using a CASE integration tool for use with Ward / Mellor techniques , suitable and Testing ; covers : Analysis , design and development methods ; Review procedures ; Documentation ; Coding and debugging ; Simulation used such is . result in operation with a different instrument ; may Under conditions , the number of warnings should be normal errors other ; possible to continue operation with degraded performance .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2898,"For example , failure of automatic tracking may require manual tracking small","[Not Useful Class, Useful Use Case, Useful Activity]"
2899,"That . system conditions should be noted by the subsystems before such reaching OCS level ; Failure conditions should not cascade the ,","[Useful Class, Useful Use Case, Not Useful Activity]"
2900,Ideally . should monitor the rate of warning messages since an increase might indicate that some tuning or maintenance is appropriate,"[Not Useful Class, Useful Use Case, Useful Activity]"
2901,"The as TSEE ,","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2902,The choice for a development environment is based . on following criteria : ; Productivity and development tools the software system,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
2903,Development performance for both human interaction and communications .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2904,Real - time support is required at the IOC level . ; sufﬁcient Software and interfaces ; Support of a distributed environment . user,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2905,"Given criteria , the following recommendations exist .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
2906,The these art - the hardware independence ; Vendor independence ; Industry and de - facto standards ; Support for state - of - portability provide to expected staff .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2907,"Detailed design and development standards are Gemini not , but expected to conform to system goals speciﬁed the by reviewed by Westmount Technologies .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2908,The design is to use the techniques and diagrams introduced by Ward and Mellor and and established practice . to not require a real - time operating environment .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2909,"However , the operating environment at these levels is assumed but are OCS","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2910,An object - oriented approach is encouraged but not required .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2911,The upper levels ( User - interface and ) it should not storage subsystem .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2912,"IOC control databases are distributed data across IOC subsystems , with down - loadableinitialization copies the the in and off - line access is done according to STARCAT .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2913,Astronomical data are stored both in the Archiving system available and on Gemini the development systems are considered here .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2914,Installed,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2915,"Only systems to be chosen later , based on available are . database relational disks .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2916,"Conﬁguration , logging , maintenance schedules , and subsystem documentation are to be kept in the commercial the technology line on Wave / IDL ; Archiving .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2917,All astronomical - data saved into the Archiving system .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2918,"Data storage are PV through be line data reduction include ADAM , IRAF , Midas , IDL and Khoros ; Quick - look analysis will and - transport astronomical catalogs available on the Gemini system are described","[Useful Class, Useful Use Case, Not Useful Activity]"
2919,"The in , as are software access requirements .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2920,Both TBD . catalogs .Star data will be in FITS format .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2921,"On - line access to the archiver will be through STARCAT ; for and experiences with manufacturer support , and upgrade capability of the , development will be considered when selecting the ﬁnal target systems .Reliability ; available Internal data formats must be compatible across workstations used for development ; SCSI - interface peripherals are to be systems ; . following are to be SUN SPARC-10 ( model 41 workstations ) SPARC Classic with 64 MB of dynamic memory or developmental the , recommendations are made : Workstations ; Where Gemini is providing the computer equipment as part of a contractual agreement","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2922,"The communications for interfaces present a well - designed development environment , and including - support for VxWorks development , if needed cross standards software speciﬁed the development systems .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2923,The computer hardware used for development must conform to the following : Workstations must match ; .Workstations are expected the migration of development systems to advancing technology ; .It is assumed that workstations support Ethernet IEEE-802.3 and FDDI allows -,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2924,"This family to be state - of - the - art systems ( CPU , communications support ) in a scaleable . be off used EPICS as the interface .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2925,"Details of these with standards be found in the Software Programming Standards document can , VxWorks is operating system is Unix , currently baselined as Solaris 2.3 or above .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2926,The installed target IOC operating system . workstation,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2927,These deﬁned / IP communication protocol over LAN 's and TCP the ; The communication software must support the standard WAN DARPA the using in the Gemini Conﬁguration Control Plan .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2928,The following recommendations are made : Communication hardware independence is accomplished by are ARPA host software while it is connected to the system is software strictly software in the IOC .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2929,"From outside the through embedded this to require downloading , except possibly for upgrades , typically being placed into ROM or FLASH memory .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2930,Any access IOC The this appears ( for maintenance purposes ) to have it advantage conform the requirements of Gemini software ; Installation system to an obviously is as part of the electronics .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2931,"Although this software is not considered part of the Gemini software , it software services ( telnet line data reduction facility is not considered part - of Gemini software .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2932,"However , it will be the off","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2933,The . ; Further details of the software interfaces are found in the Software Design Description .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2934,Off line Data reduction possible SDS to such the Gemini software and must conform to the of standards in this document .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2935,Packages that might be given part are routines software into the Gemini system if interface routines are developed for connecting to the Gemini system .,"[Useful Class, Useful Use Case, Not Useful Activity]"
2936,These interface connect / IMP through,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2937,"The recommendations are : .The software interface between . workstation IOC is to use DRAMA ’s IMP protocol and library interface socket , FTP , SMTP , etc ) as well as NFS , RPC , IPC , and the Unix for all control communication between real - time components is to based on the EPICS Channel Access protocol ; Data communications are typically .Communications for ; IMP , using SDS as the command structure . ; .Interprocess","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2938,"communication on the host workstations is through the same protocol ; may , alarms , and errors are special forms of , output , since they are made available for later data messages logging as information are considered data outputs .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2939,These data end up in the different databases .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2940,"Operational information , such inspection astronomical and .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2941,This requires that all input and output data . be appropriately .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2942,Given an initial set of conﬁguration logged observation the during,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2943,"One criteria is that sufﬁcient information be recorded during an observation to recreate the sequence of events that occurred debugging parameters and ,","[Useful Class, Useful Use Case, Useful Activity]"
2944,Input data are all data that are predeﬁned . at start .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2945,"This includes catalogs , calibrations and operation ) software supported information , detailed documentation , operation logs , etc . ) are stored in a relational DBMS .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2946,( ﬂat video ﬁelds in course of operation and trigger events .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
